total_patients
--------------
3819          
avg_billing_amount
------------------
25434.91          
avg_length_of_stay
------------------
15.76             
total_billing_amount
--------------------
97822651.58         
pct_emergency_admissions
------------------------
33.31                   
Test_Results  admissions  avg_billing_amount  avg_length_of_stay
------------  ----------  ------------------  ------------------
Abnormal      1288        25248.17            15.61             
Normal        1285        25648.97            15.76             
Inconclusive  1273        25407.77            15.9              
and Lynch, Lewis Turner            1           15615.04            3.0                 15615.04            
and Luna Ochoa, Welch              1           39216.91            28.0                39216.91            
and Lopez Villegas French,         1           39929.04            3.0                 39929.04            
and Lopez Sons                     1           34813.89            25.0                34813.89            
and Lopez Moreno Mcpherson,        1           5746.05             4.0                 5746.05             
and Long Carr, Johnson             1           19783.94            3.0                 19783.94            
and Liu, Williams Wiggins          1           32171.25            25.0                32171.25            
and Little Roberts, Watson         1           39985.27            18.0                39985.27            
and Lewis, Wilson Moody            1           32140.08            16.0                32140.08            
and Lewis Thomas Carter,           1           5957.19             8.0                 5957.19             
and Lewis Miller, Taylor           1           43025.55            25.0                43025.55            
and Lewis Hernandez, Harrison      1           2460.9              22.0                2460.9              
and Lewis Butler York,             1           35593.5             5.0                 35593.5             
and Leonard Brown George,          1           42266.15            28.0                42266.15            
and Lee Walter, Anderson           1           29538.89            22.0                29538.89            
and Lee Sons                       1           26036.51            13.0                26036.51            
and Lee Peck Alexander,            1           3713.08             25.0                3713.08             
and Lee Lopez, Wells               1           3700.42             24.0                3700.42             
and Lee Jones, Coleman             1           14298.93            4.0                 14298.93            
and Lawson, Hampton Carpenter      1           504.74              6.0                 504.74              
and Lawson Meyer Armstrong,        1           24522.51            6.0                 24522.51            
and Klein Thomas, Miller           1           36812.94            4.0                 36812.94            
and Kent, Collins Herrera          1           40780.67            13.0                40780.67            
and Jones Sons                     1           38967.26            3.0                 38967.26            
and Jones Perry, Hill              1           20445.67            3.0                 20445.67            
and Jones Lawson White,            1           32121.58            21.0                32121.58            
and Johnson, Nichols Moreno        1           26697.14            18.0                26697.14            
and Johnson, Cox Lozano            1           40942.39            22.0                40942.39            
and Johnson Ramirez Poole,         1           34517.0             15.0                34517.0             
and Johnson Porter, Sims           1           46401.44            20.0                46401.44            
and Johnson Hernandez Morgan,      1           7929.41             1.0                 7929.41             
and Johnson Clements Conrad,       1           19425.06            26.0                19425.06            
and Jimenez Johnson, Moore         1           11629.63            2.0                 11629.63            
and Jimenez Copeland Franklin,     1           28652.46            15.0                28652.46            
and Jennings Sons                  1           12477.33            6.0                 12477.33            
and James Smith George,            1           28926.57            22.0                28926.57            
and James Miller Smith,            1           6967.62             29.0                6967.62             
and Jacobs, Robinson Nelson        1           41340.74            4.0                 41340.74            
and Jackson Smith Elliott,         1           16261.28            20.0                16261.28            
and Jackson Johnson, Anderson      1           30084.48            17.0                30084.48            
and Jackson Brown Green,           1           45753.53            4.0                 45753.53            
and Jackson Acosta, Boyle          1           25680.66            27.0                25680.66            
and Huynh, Barron Orr              1           46334.78            17.0                46334.78            
and Huynh Stewart, Preston         1           26872.72            10.0                26872.72            
and Hunt Sons                      1           7173.16             3.0                 7173.16             
and Hull White, Best               1           29282.0             13.0                29282.0             
and Hughes Johnson Ward,           1           14528.21            15.0                14528.21            
and Hubbard Bell Sanchez,          1           15392.08            6.0                 15392.08            
and Howard Schroeder Williams,     1           19263.86            19.0                19263.86            
and Holmes, Brown Lee              1           40616.32            10.0                40616.32            
and Holland, White Collins         1           43392.58            2.0                 43392.58            
and Hill Carter, Stout             1           44683.8             2.0                 44683.8             
and Hernandez, Garcia Parks        1           5198.43             8.0                 5198.43             
and Hernandez Sons                 1           8767.41             6.0                 8767.41             
and Hayes Hines, Williams          1           9596.34             4.0                 9596.34             
and Harris Burton Richardson,      1           1602.33             6.0                 1602.33             
and Harper Rivera Hays,            1           15088.81            13.0                15088.81            
and Harmon Bruce Hernandez,        1           23842.13            5.0                 23842.13            
and Hall Johnson, Brown            1           14542.33            24.0                14542.33            
and Hale, Jefferson Hoffman        1           40868.8             27.0                40868.8             
and Gutierrez Sons                 1           21840.04            30.0                21840.04            
and Griffin Thomas, Bennett        1           40721.77            25.0                40721.77            
and Greene, Yates Robinson         1           30875.01            1.0                 30875.01            
and Greene Hall, Bennett           1           32004.82            10.0                32004.82            
and Gray Rogers Flores,            1           24903.62            29.0                24903.62            
and Gordon Sanchez Martinez,       1           29195.01            14.0                29195.01            
and Goodwin Cruz, Johnson          1           12770.28            7.0                 12770.28            
and Gonzales Bailey Allen,         1           37952.07            15.0                37952.07            
and Gomez, Hunt Carrillo           1           19925.17            11.0                19925.17            
and Gomez, Flores Dixon            1           30654.64            17.0                30654.64            
and Gomez Lucas, Ramirez           1           17807.25            8.0                 17807.25            
and Golden Sons                    1           8507.74             16.0                8507.74             
and Glenn Walker Lucas,            1           16299.4             18.0                16299.4             
and Giles, Lee Edwards             1           32116.13            16.0                32116.13            
and Garrett Sons                   1           7362.91             5.0                 7362.91             
and Garner, Thomas Hartman         1           38459.38            5.0                 38459.38            
and Gardner, Brown Reyes           1           19105.69            14.0                19105.69            
and Gardner Hernandez Pena,        1           43576.55            7.0                 43576.55            
and Frazier Hill Smith,            1           46743.85            28.0                46743.85            
and Franklin Moore Campbell,       1           10820.78            30.0                10820.78            
and Fox Cook, Reeves               1           11046.35            22.0                11046.35            
and Flores Swanson, Wagner         1           23905.28            14.0                23905.28            
and Flores Sharp, Ross             1           39689.83            30.0                39689.83            
and Fisher, Stewart Underwood      1           29602.65            21.0                29602.65            
and Evans Johnson Cardenas,        1           47194.54            25.0                47194.54            
and Espinoza Cook, Hawkins         1           29052.52            2.0                 29052.52            
and Elliott Sons                   1           12353.08            15.0                12353.08            
and Edwards, Smith Johnson         1           31922.36            15.0                31922.36            
and Donaldson Weber Taylor,        1           24085.44            25.0                24085.44            
and Dominguez Sons                 1           41904.0             17.0                41904.0             
and Dixon Bennett, Shaw            1           4522.25             20.0                4522.25             
and Dixon Beltran Owens,           1           4662.3              6.0                 4662.3              
and Diaz Hernandez, Sparks         1           24530.3             8.0                 24530.3             
and Dennis Gomez, Humphrey         1           12762.89            29.0                12762.89            
and Deleon, Williams Turner        1           32837.9             12.0                32837.9             
and Delacruz Davis, Howard         1           38722.51            7.0                 38722.51            
and Dawson, Payne Phillips         1           12653.16            13.0                12653.16            
and Davis, Walker Archer           1           9800.26             19.0                9800.26             
and Davis, Short Anderson          1           33038.84            5.0                 33038.84            
and Davis, Serrano Merritt         1           19217.75            19.0                19217.75            
and Davis, Powell Santos           1           10345.99            17.0                10345.99            
and Davis Hoffman, Moore           1           38587.06            28.0                38587.06            
and Davidson Lawson Clayton,       1           6943.53             9.0                 6943.53             
and Davenport Davis Hobbs,         1           36890.27            12.0                36890.27            
and Curry Sons                     1           30335.14            16.0                30335.14            
and Cummings Rowe, Mathews         1           35819.24            16.0                35819.24            
and Craig, Cook Dorsey             1           9071.64             10.0                9071.64             
and Cox, Ortiz Savage              1           38597.8             6.0                 38597.8             
and Cordova Klein, Spence          1           32972.91            4.0                 32972.91            
and Cook Sons                      1           23618.83            30.0                23618.83            
and Clark, Mercado Stark           1           9661.97             9.0                 9661.97             
and Chapman Payne, Werner          1           42500.59            1.0                 42500.59            
and Chang, Franklin Conway         1           14464.12            5.0                 14464.12            
and Castaneda, Mccarty Patterson   1           16518.26            21.0                16518.26            
and Carroll Sons                   1           35610.07            8.0                 35610.07            
and Carroll Orr Kelly,             1           42434.78            22.0                42434.78            
and Carr, Mendoza Bradley          1           10639.21            25.0                10639.21            
and Carpenter Jones Fisher,        1           7162.99             6.0                 7162.99             
and Campos Peck Bernard,           1           22096.93            16.0                22096.93            
and Campbell Peters, Ewing         1           7413.63             6.0                 7413.63             
and Byrd Parsons, Chen             1           28150.13            3.0                 28150.13            
and Bush, Castillo Williamson      1           13839.81            6.0                 13839.81            
and Burns Shields, Elliott         1           32791.45            28.0                32791.45            
and Bryant, Butler Webb            1           30162.12            22.0                30162.12            
and Bryan Wilson, Williams         1           40614.69            24.0                40614.69            
and Bryan Blackwell, Jackson       1           5480.57             11.0                5480.57             
and Brown Larson Moyer,            1           3963.12             2.0                 3963.12             
and Brown Cobb Alvarez,            1           33182.7             10.0                33182.7             
and Brown Burgess, Tran            1           20191.07            23.0                20191.07            
and Booker Hall Gonzalez,          1           4507.81             26.0                4507.81             
and Berger Terry, Franklin         1           43999.98            3.0                 43999.98            
and Bennett, Campbell Stewart      1           27397.16            11.0                27397.16            
and Bennett Ferguson, Flores       1           27348.55            21.0                27348.55            
and Beltran Sons                   1           19358.57            18.0                19358.57            
and Bates Smith Wade,              1           23782.65            29.0                23782.65            
and Barnes James Williams,         1           46126.54            24.0                46126.54            
and Baker Jones, Wilson            1           35949.12            10.0                35949.12            
and Bailey Sawyer, Weiss           1           4508.97             6.0                 4508.97             
and Ayers Swanson, Greer           1           11599.16            13.0                11599.16            
and Ashley Decker, Hays            1           6108.55             18.0                6108.55             
and Arnold, Phillips Fox           1           48688.15            25.0                48688.15            
and Armstrong, Blair Zimmerman     1           18466.86            4.0                 18466.86            
and Armstrong Sons                 1           11979.62            23.0                11979.62            
and Anderson Gentry, Esparza       1           32219.64            8.0                 32219.64            
and Allen, Taylor Bennett          1           14843.25            30.0                14843.25            
and Adkins Porter, Benton          1           42764.84            6.0                 42764.84            
and Adams Morgan Livingston,       1           16560.5             2.0                 16560.5             
Zuniga-Marquez                     1           8783.2              25.0                8783.2              
Zhang-Wade                         1           9161.98             24.0                9161.98             
Zhang-Cole                         1           26439.29            7.0                 26439.29            
Zhang Inc                          1           40986.48            12.0                40986.48            
Zavala-Fernandez                   1           22063.23            19.0                22063.23            
Zavala and Armstrong Burns,        1           21410.99            22.0                21410.99            
Zamora Pierce and Baker,           1           8462.8              13.0                8462.8              
Young-Thomas                       1           18899.5             28.0                18899.5             
Young-Potter                       1           11775.39            24.0                11775.39            
Young-Mercer                       1           34250.52            19.0                34250.52            
Young-Johnson                      1           44954.13            14.0                44954.13            
Young-Campbell                     1           27962.73            26.0                27962.73            
Young-Black                        1           16107.1             25.0                16107.1             
Young, Cruz and Crawford           1           24136.88            12.0                24136.88            
Young Sons and                     1           39833.07            17.0                39833.07            
Young PLC                          1           9341.26             4.0                 9341.26             
Young Martin, Taylor and           1           12495.21            13.0                12495.21            
Young Inc                          1           33623.55            1.0                 33623.55            
Young Group                        1           23254.03            28.0                23254.03            
Young Grant Kramer, and            1           9021.52             26.0                9021.52             
Yang, Williams and Frost           1           41227.24            27.0                41227.24            
Yang, White Frazier and            1           32383.92            21.0                32383.92            
Wyatt-Alexander                    1           3389.45             13.0                3389.45             
Wyatt Stewart, Norton and          1           46918.27            28.0                46918.27            
Wu-Beltran                         1           49389.28            29.0                49389.28            
Wright-Orr                         1           40782.44            7.0                 40782.44            
Wright-Myers                       1           29213.59            14.0                29213.59            
Wright-Dougherty                   1           14133.94            2.0                 14133.94            
Wright-Carter                      1           36155.11            6.0                 36155.11            
Wright, and Riddle Jenkins         1           37005.06            18.0                37005.06            
Wright Torres, Murray and          1           33025.4             5.0                 33025.4             
Wright Rios, Ellis and             1           31795.92            22.0                31795.92            
Wright PLC                         1           19802.16            5.0                 19802.16            
Wright Miller, Sanchez and         1           20246.09            20.0                20246.09            
Wright LLC                         1           47412.35            11.0                47412.35            
Wright Group                       1           36324.41            8.0                 36324.41            
Woods, and Le Brown                1           1994.51             25.0                1994.51             
Woods Ltd                          1           38654.42            19.0                38654.42            
Woodard-Spencer                    1           17578.56            12.0                17578.56            
Woodard-Fernandez                  1           32469.51            30.0                32469.51            
Wood-Ramos                         1           27449.62            2.0                 27449.62            
Wood-Martinez                      1           45898.78            26.0                45898.78            
Wood Ryan, and Mckinney            1           42044.59            13.0                42044.59            
Wong-Gonzalez                      1           28482.14            23.0                28482.14            
Wong, Lopez and Parsons            1           9719.79             6.0                 9719.79             
Wong Carroll and Blair,            1           4638.78             19.0                4638.78             
Wolfe Sons and                     1           29356.89            26.0                29356.89            
Wolf-Estes                         1           7639.13             30.0                7639.13             
Wise Valenzuela and Kent,          1           44378.39            26.0                44378.39            
Winters-Stevens                    1           49825.05            29.0                49825.05            
Winters Sons and                   1           18363.67            16.0                18363.67            
Wilson-Yang                        1           28005.65            29.0                28005.65            
Wilson-Smith                       1           6111.17             30.0                6111.17             
Wilson-Ross                        1           45227.75            16.0                45227.75            
Wilson-Rice                        1           41699.08            6.0                 41699.08            
Wilson-Pearson                     1           34936.68            5.0                 34936.68            
Wilson-Murphy                      1           33076.99            12.0                33076.99            
Wilson-Hensley                     1           15580.59            17.0                15580.59            
Wilson-Henderson                   1           29523.5             16.0                29523.5             
Wilson-Haynes                      1           15040.03            7.0                 15040.03            
Wilson-Adams                       1           34473.66            12.0                34473.66            
Wilson, Ward Taylor and            1           8726.7              17.0                8726.7              
Wilson, Payne and Rowe             1           35767.71            2.0                 35767.71            
Wilson and Sons                    1           12416.15            14.0                12416.15            
Wilson and Morales Mccormick,      1           4437.83             25.0                4437.83             
Wilson and Harrison, Reed          1           1634.08             11.0                1634.08             
Wilson Sons and                    1           6789.92             19.0                6789.92             
Wilson Price Brooks, and           1           47277.61            2.0                 47277.61            
Wilson Ltd                         1           8371.29             27.0                8371.29             
Wilson LLC                         1           15933.7             13.0                15933.7             
Wilson Carter and Ramirez,         1           3795.14             9.0                 3795.14             
Wilson Archer, and Jones           1           18025.26            22.0                18025.26            
Willis-Martinez                    1           49375.52            17.0                49375.52            
Willis Ltd                         1           23891.86            27.0                23891.86            
Williamson-Dunn                    1           4862.75             15.0                4862.75             
Williams-Walker                    1           38519.28            18.0                38519.28            
Williams-Travis                    1           22458.04            2.0                 22458.04            
Williams-Saunders                  1           49446.46            18.0                49446.46            
Williams-Peterson                  1           2282.18             9.0                 2282.18             
Williams-Johnson                   1           27372.33            1.0                 27372.33            
Williams-Jimenez                   1           15343.25            2.0                 15343.25            
Williams-Hill                      1           15787.46            26.0                15787.46            
Williams-Francis                   1           6323.05             21.0                6323.05             
Williams-Flores                    1           9015.88             23.0                9015.88             
Williams-Edwards                   1           16341.7             15.0                16341.7             
Williams-Collins                   1           30408.27            17.0                30408.27            
Williams-Cabrera                   1           17251.71            3.0                 17251.71            
Williams-Benjamin                  1           1840.12             29.0                1840.12             
Williams-Anthony                   1           29727.77            2.0                 29727.77            
Williams, and Jones Acosta         1           29460.31            21.0                29460.31            
Williams, and Carr Sweeney         1           6828.25             3.0                 6828.25             
Williams, Torres and Bell          1           41759.96            28.0                41759.96            
Williams, Santiago and King        1           2394.51             12.0                2394.51             
Williams, Miller Burton and        1           8566.35             17.0                8566.35             
Williams and Miles, Shaw           1           15538.88            15.0                15538.88            
Williams and Hansen Daugherty,     1           14223.53            27.0                14223.53            
Williams Smith, and Mccoy          1           16962.25            2.0                 16962.25            
Williams Perkins and Watkins,      1           30188.93            22.0                30188.93            
Williams Jackson, and Simpson      1           18772.7             24.0                18772.7             
Williams Inc                       1           3889.94             2.0                 3889.94             
Williams Group                     1           42567.94            19.0                42567.94            
Williams Fisher, Martin and        1           18299.84            2.0                 18299.84            
Williams Clark Andrade, and        1           23760.06            24.0                23760.06            
Wilkinson Jackson and Sweeney,     1           33333.89            5.0                 33333.89            
Wilkins-Taylor                     1           42202.2             8.0                 42202.2             
Wilkins PLC                        1           18401.24            22.0                18401.24            
Wilkerson and Sons                 1           13922.65            28.0                13922.65            
Wilcox-Romero                      1           34380.43            16.0                34380.43            
Wiggins-Bates                      1           49817.94            21.0                49817.94            
Wiggins Inc                        1           4064.13             15.0                4064.13             
White-Walls                        1           19926.02            28.0                19926.02            
White-Terry                        1           21091.2             29.0                21091.2             
White-Meyer                        1           14966.59            10.0                14966.59            
White-Mathis                       1           267.15              27.0                267.15              
White-Davis                        1           4654.53             15.0                4654.53             
White-Black                        1           34707.18            23.0                34707.18            
White, and Hunt Dennis             1           17607.35            15.0                17607.35            
White, Stewart Adams and           1           21075.52            25.0                21075.52            
White, Marshall and Durham         1           41244.9             26.0                41244.9             
White, Hayes and Perez             1           28910.5             13.0                28910.5             
White and Thomas Clark,            1           12732.54            25.0                12732.54            
White and Mendez Stark,            1           6267.41             5.0                 6267.41             
White Roy Dunlap, and              1           46263.24            8.0                 46263.24            
White Morris and Clements,         1           3899.63             13.0                3899.63             
White Anderson, and Henry          1           41105.12            11.0                41105.12            
Wheeler-Wong                       1           31726.44            14.0                31726.44            
Wheeler-Miller                     1           18021.8             25.0                18021.8             
Wheeler-Gonzalez                   1           13787.76            10.0                13787.76            
West-Young                         1           28899.19            14.0                28899.19            
West-Stewart                       1           9437.78             29.0                9437.78             
West-Salazar                       1           45568.06            5.0                 45568.06            
West and Patterson, Hurley         1           15609.85            9.0                 15609.85            
West Inc                           1           27869.48            20.0                27869.48            
Wells-Taylor                       1           47068.52            23.0                47068.52            
Wells-Mcbride                      1           19280.54            11.0                19280.54            
Wells and Sons                     1           28950.83            21.0                28950.83            
Wells and Marsh, Castaneda         1           20046.31            18.0                20046.31            
Wells Robinson, Holmes and         1           43347.81            16.0                43347.81            
Welch-Collins                      1           41325.5             3.0                 41325.5             
Welch-Burns                        1           28314.91            25.0                28314.91            
Welch, Russo and Taylor            1           39843.03            11.0                39843.03            
Welch Martinez and Shields,        1           22421.92            2.0                 22421.92            
Weiss, Ho Nichols and              1           9172.19             13.0                9172.19             
Weeks-Harris                       1           40534.39            20.0                40534.39            
Weeks-Davis                        1           41476.24            2.0                 41476.24            
Weber-Rodriguez                    1           32374.54            21.0                32374.54            
Weber-Browning                     1           17380.23            25.0                17380.23            
Weber, Ferguson Webster and        1           46533.06            21.0                46533.06            
Weber and Sons                     1           21238.94            30.0                21238.94            
Webb-Williams                      1           41665.88            7.0                 41665.88            
Weaver-Robinson                    1           40540.65            15.0                40540.65            
Weaver-Mcconnell                   1           23181.19            6.0                 23181.19            
Weaver-Hernandez                   1           37077.9             8.0                 37077.9             
Weaver Group                       1           27203.49            7.0                 27203.49            
Watts-Jones                        1           29649.18            20.0                29649.18            
Watts-Cook                         1           13087.41            22.0                13087.41            
Watson-Melendez                    1           47884.8             28.0                47884.8             
Watson-Carter                      1           37929.25            8.0                 37929.25            
Watson Watts Boyd, and             1           8542.68             7.0                 8542.68             
Watson PLC                         1           24068.27            6.0                 24068.27            
Watson Mitchell Garcia, and        1           42744.31            8.0                 42744.31            
Watson LLC                         1           33805.17            16.0                33805.17            
Watson Group                       1           6362.22             28.0                6362.22             
Watkins-Mora                       1           48188.36            19.0                48188.36            
Watkins, Campbell Anderson and     1           22484.19            10.0                22484.19            
Watkins Group                      1           30452.69            30.0                30452.69            
Waters and Molina, Jackson         1           43102.81            16.0                43102.81            
Waters Group                       1           34328.97            13.0                34328.97            
Washington-Lambert                 1           23667.77            2.0                 23667.77            
Washington-Butler                  1           19213.98            8.0                 19213.98            
Washington and Snyder Cooper,      1           35113.97            8.0                 35113.97            
Warren, Wood Miller and            1           16321.0             24.0                16321.0             
Warren and Sons                    1           23023.16            14.0                23023.16            
Warren Jenkins and Jones,          1           36324.42            10.0                36324.42            
Warren Inc                         1           21212.5             16.0                21212.5             
Warren Benson, and Porter          1           46710.04            15.0                46710.04            
Warner Ltd                         1           47117.64            23.0                47117.64            
Ware and Howard, Buck              1           48936.52            3.0                 48936.52            
Ward-Williams                      1           27457.67            7.0                 27457.67            
Ward-Tyler                         1           37703.17            15.0                37703.17            
Ward-Mayer                         1           49118.59            19.0                49118.59            
Ward-Evans                         1           21887.41            13.0                21887.41            
Ward-Coleman                       1           18414.09            23.0                18414.09            
Ward Jones and Leblanc,            1           24442.25            2.0                 24442.25            
Ward Inc                           1           13470.1             6.0                 13470.1             
Wang-Hampton                       1           33909.49            10.0                33909.49            
Wang, Skinner White and            1           11670.94            26.0                11670.94            
Walters-Christensen                1           22046.16            15.0                22046.16            
Walters, Guzman Owen and           1           13362.78            30.0                13362.78            
Walters, Anderson West and         1           36269.22            3.0                 36269.22            
Walters Davis, and Harrington      1           15913.86            26.0                15913.86            
Walter Robinson Jackson, and       1           46146.82            25.0                46146.82            
Walsh, Hamilton and Williams       1           26097.73            23.0                26097.73            
Walls Dean, and Lewis              1           21777.86            20.0                21777.86            
Wallace-Smith                      1           38565.91            25.0                38565.91            
Wallace, and Lopez Villanueva      1           15373.07            17.0                15373.07            
Wallace and Stevens, Greene        1           15218.45            30.0                15218.45            
Wallace and Owens, Warner          1           45109.39            6.0                 45109.39            
Wallace Thompson Sanchez, and      1           1241.89             29.0                1241.89             
Wallace Patel, Cunningham and      1           9873.39             28.0                9873.39             
Walker-Short                       1           3355.14             1.0                 3355.14             
Walker, Silva Tran and             1           38286.04            15.0                38286.04            
Walker and Sons                    1           46452.75            2.0                 46452.75            
Walker Williams, Davidson and      1           44215.62            20.0                44215.62            
Walker Sons and                    1           28036.1             17.0                28036.1             
Walker Moore and Rodriguez,        1           33770.62            26.0                33770.62            
Walker LLC                         1           24035.92            4.0                 24035.92            
Walker Group                       1           34014.97            20.0                34014.97            
Wagner-Simpson                     1           31698.3             21.0                31698.3             
Wagner-Jensen                      1           25302.32            28.0                25302.32            
Wagner-Herrera                     1           42757.45            8.0                 42757.45            
Wagner, Graham and Russell         1           47989.9             13.0                47989.9             
Wade-Cummings                      1           33372.46            4.0                 33372.46            
Vincent, Walker Parsons and        1           32956.18            28.0                32956.18            
Vincent Ltd                        1           28310.22            18.0                28310.22            
Villegas Inc                       1           6125.98             22.0                6125.98             
Villanueva, Thompson Trujillo and  1           38904.52            7.0                 38904.52            
Villanueva Inc                     1           8598.67             17.0                8598.67             
Velez, Carrillo Lee and            1           16190.6             12.0                16190.6             
Velez and Gill Garrett,            1           42585.03            5.0                 42585.03            
Velazquez-Patton                   1           33706.6             7.0                 33706.6             
Vega and Sons                      1           29873.98            26.0                29873.98            
Vega LLC                           1           38232.91            12.0                38232.91            
Vega Frazier Wells, and            1           9913.89             7.0                 9913.89             
Vazquez-Smith                      1           2495.74             25.0                2495.74             
Vazquez-Jones                      1           47488.87            7.0                 47488.87            
Vazquez Sanders, and Mcdonald      1           10399.97            5.0                 10399.97            
Vazquez Group                      1           37431.0             11.0                37431.0             
Vaughan Parker and Wagner,         1           22868.53            12.0                22868.53            
Vasquez-Walker                     1           15836.55            8.0                 15836.55            
Vasquez-Guzman                     1           1451.2              18.0                1451.2              
Vasquez-Carr                       1           20762.02            23.0                20762.02            
Vasquez Hernandez, and Smith       1           4537.4              10.0                4537.4              
Vasquez Group                      1           48860.3             19.0                48860.3             
Vargas-Howard                      1           8124.55             23.0                8124.55             
Vargas-Herrera                     1           11976.09            17.0                11976.09            
Vargas Inc                         1           3490.59             18.0                3490.59             
Vang-Kim                           1           7785.9              9.0                 7785.9              
Vance, and Mcclure Garza           1           18378.1             26.0                18378.1             
Valdez-Smith                       1           24871.25            6.0                 24871.25            
Valdez-Knapp                       1           16907.05            2.0                 16907.05            
Valdez-Hamilton                    1           24141.28            20.0                24141.28            
Valdez-Dunlap                      1           15649.45            2.0                 15649.45            
Valdez, and Moore Cruz             1           6016.24             25.0                6016.24             
Underwood Young and Griffith,      1           42864.8             8.0                 42864.8             
Underwood LLC                      1           24496.94            29.0                24496.94            
Tyler-Cox                          1           2647.69             24.0                2647.69             
Tyler and Williams, Mcknight       1           44443.74            29.0                44443.74            
Tyler Henry, and Massey            1           35911.26            8.0                 35911.26            
Turner-Ramirez                     1           16260.95            24.0                16260.95            
Turner-Mendoza                     1           42140.83            14.0                42140.83            
Turner-Glover                      1           27790.17            25.0                27790.17            
Turner, and Vang Morales           1           22837.7             29.0                22837.7             
Turner, and Kennedy Walker         1           8015.39             10.0                8015.39             
Turner Wright Fischer, and         1           26799.72            17.0                26799.72            
Turner PLC                         1           26292.33            27.0                26292.33            
Tucker-Robinson                    1           39745.11            29.0                39745.11            
Tucker-Brown                       1           9955.44             28.0                9955.44             
Tucker PLC                         1           26786.11            29.0                26786.11            
Trujillo-Hickman                   1           43115.19            9.0                 43115.19            
Trujillo-Atkinson                  1           31223.84            4.0                 31223.84            
Trujillo Brown, and Robinson       1           26781.11            22.0                26781.11            
Tran-Gardner                       1           47005.95            6.0                 47005.95            
Tran Tate Thompson, and            1           17089.61            6.0                 17089.61            
Tran Richardson and Long,          1           31529.35            29.0                31529.35            
Tran Ltd                           1           37664.58            6.0                 37664.58            
Tran LLC                           1           18150.03            25.0                18150.03            
Tran Brown, and Smith              1           49065.79            8.0                 49065.79            
Townsend-Lewis                     1           14010.14            25.0                14010.14            
Torres-Riley                       1           30718.19            19.0                30718.19            
